"Year","Actor","Role","English Title"
"1932","Fredric March","Dr. Henry Jekyll / Mr. Edward Hyde","Dr. Jekyll and Mr. Hyde"
"1934","Wallace Beery","Pancho Villa","Viva Villa!"
"1935","Pierre Blanchar","Rodion Raskolnikov","Crime and Punishment"
"1936","Paul Muni","Louis Pasteur","The Story of Louis Pasteur"
"1937","Emil Jannings","Matthias Clausen","Der Herrscher"
"1938","Leslie Howard","Professor Henry Higgins","Pygmalion"
"1941","Ermete Zacconi","Don Geronimo Buonaparte","Don Buonaparte"
"1942","Fosco Giachetti","Captain Enrico Berti","Bengasi"
"1947","Pierre Fresnay","Vincent de Paul","Monsieur Vincent"
"1948","Ernst Deutsch","Scharf","The Trial"
"1949","Joseph Cotten","Eben Adams","Portrait of Jennie"
"1950","Sam Jaffe",""Erwin ""Doc"" Riedenschneider"","The Asphalt Jungle"
"1951","Jean Gabin","Raymond Pinsard","The Night Is My Kingdom"
"1952","Fredric March","Willy Loman","Death of a Salesman"
"1953","Henri Vilbert","François Dupont","Good Lord Without Confession"
"1954","Jean Gabin","Victor Le Garrec","The Air of Paris"
"1954","Jean Gabin","Max","Touchez pas au grisbi"
"1955","Curd Jürgens","Wolf Gerke","Les héros sont fatigués"
"1955","Kenneth More","Freddie Page","The Deep Blue Sea"
"1956","Bourvil","Marcel Martin","La Traversée de Paris"
"1957","Anthony Franciosa","Polo Pope","A Hatful of Rain"
"1958","Alec Guinness","Gulley Jimson","The Horse's Mouth"
"1959","James Stewart","Paul Biegler","Anatomy of a Murder"
"1960","John Mills","Lt. Col. Basil Barrow","Tunes of Glory"
"1961","Toshiro Mifune","Sanjuro","Yojimbo"
"1962","Burt Lancaster","Robert Stroud","Birdman of Alcatraz"
"1963","Albert Finney","Tom Jones","Tom Jones"
"1964","Tom Courtenay","Private Arthur Hamp","King and Country"
"1965","Toshiro Mifune","Dr. Kyojō Niide","Red Beard"
"1966","Jacques Perrin","Michele","Un uomo a metà"
"1967","Ljubiša Samardžić","Mali","The Morning"
"1968","John Marley","Richard Forst","Faces"
"1983","Guy Boyd","Rooney","Streamers"
"1983","George Dzundza","Cokes","Streamers"
"1983","David Alan Grier","Roger","Streamers"
"1983","Mitchell Lichtenstein","Richie","Streamers"
"1983","Matthew Modine","Billy","Streamers"
"1983","Michael Wright","Carlyle","Streamers"
"1984","Naseeruddin Shah","Naurangia","Paar"
"1985","Gérard Depardieu","Louis Vincent Mangin","Police"
"1986","Carlo Delle Piane","Antonio Sant'Elia","Christmas Present"
"1987","Hugh Grant","Clive Durham","Maurice"
"1987","James Wilby","Maurice Hall","Maurice"
"1988","Don Ameche","Gino","Things Change"
"1988","Joe Mantegna","Jerry","Things Change"
"1989","Marcello Mastroianni","Marcello","What Time Is It?"
"1989","Massimo Troisi","Michele","What Time Is It?"
"1990","Oleg Borisov","Christo Panov / Svidetel","The Only Witness"
"1991","River Phoenix","Mikey Waters","My Own Private Idaho"
"1992","Jack Lemmon",""Shelley ""The Machine"" Levene"","Glengarry Glen Ross"
"1993","Fabrizio Bentivoglio","Pietro De Leo","A Soul Split in Two"
"1993","Marcello Mastroianni","Constantin Laspada","1, 2, 3, Sun"
"1994","Xia Yu","Ma Xiaojun","In the Heat of the Sun"
"1994","Roberto Citran","Loris","Il toro"
"1995","Götz George","Fritz Haarmann","Deathmaker"
"1995","Ian Hart","Ginger","Nothing Personal"
"1996","Liam Neeson","Michael Collins","Michael Collins"
"1996","Chris Penn",""Cesarian ""Chez"" Tempio"","The Funeral"
"1997","Wesley Snipes","Max Carlyle","One Night Stand"
"1998","Sean Penn","Eddie","Hurlyburly"
"1999","Jim Broadbent","W. S. Gilbert","Topsy-Turvy"
"2000","Javier Bardem","Reinaldo Arenas","Before Night Falls"
"2001","Luigi Lo Cascio","Antonio","Light of My Eyes"
"2002","Stefano Accorsi","Dino Campana","A Journey Called Love"
"2003","Sean Penn","Paul Rivers","21 Grams"
"2004","Javier Bardem","Ramón Sampedro","The Sea Inside"
"2005","David Strathairn","Edward R. Murrow","Good Night, and Good Luck"
"2006","Ben Affleck","George Reeves","Hollywoodland"
"2007","Brad Pitt","Jesse James","The Assassination of Jesse James by the Coward Robert Ford"
"2008","Silvio Orlando","Michele Casali","Giovanna's Father"
"2009","Colin Firth","George Falconer","A Single Man"
"2010","Vincent Gallo","Mohammed","Essential Killing"
"2011","Michael Fassbender","Brandon Sullivan","Shame"
"2012","Philip Seymour Hoffman","Lancaster Dodd","The Master"
"2012","Joaquin Phoenix","Freddie Quell","The Master"
"2013","Themis Panou","Father","Miss Violence"
"1932","Helen Hayes","Madelon Claudet","The Sin of Madelon Claudet"
"1934","Katharine Hepburn",""Josephine ""Jo"" March"","Little Women"
"1935","Paula Wessely","Valerie Gärtner","Episode"
"1936","Annabella","Jeanne de Corlaix","Veille d'armes"
"1937","Bette Davis","Mary Dwight Strauber","Marked Woman"
"1937","Bette Davis",""Louise ""Fluff"" Phillips"","Kid Galahad"
"1938","Norma Shearer","Marie Antoinette","Marie Antoinette"
"1941","Luise Ullrich","Annelie Dörensen","Annelie"
"1942","Kristina Söderbaum","Anna Jobst","Die goldene Stadt"
"1947","Anna Magnani","Angelina Bianchi","Angelina"
"1948","Jean Simmons","Ophelia","Hamlet"
"1949","Olivia de Havilland","Virginia Stuart Cunningham","The Snake Pit"
"1950","Eleanor Parker","Marie Allen","Caged"
"1951","Vivien Leigh","Blanche DuBois","A Streetcar Named Desire"
"1952","Ingrid Bergman","Irene Girard","Europe '51"
"1953","Lilli Palmer","Abby Edwards","The Four Poster"
"1956","Maria Schell","Gervaise Macquart Coupeau","Gervaise"
"1957","Dzidra Ritenberga","Malva","Malva"
"1958","Sophia Loren","Rose Bianco","The Black Orchid"
"1959","Madeleine Robinson","Thérèse Marcoux","Web of Passion"
"1960","Shirley MacLaine","Fran Kubelik","The Apartment"
"1961","Suzanne Flon","Madame Cordier","Thou Shalt Not Kill"
"1962","Emmanuelle Riva","Thérèse Desqueyroux","Thérèse Desqueyroux"
"1963","Delphine Seyrig","Hélène Aughain","Muriel"
"1964","Harriet Andersson","Louise","To Love"
"1965","Annie Girardot","Kay Larsi","Three Rooms in Manhattan"
"1966","Natalya Arinbasarova","Altynai","The First Teacher"
"1967","Shirley Knight","Lula","Dutchman"
"1968","Laura Betti","Emilia","Teorema"
"1983","Darling Légitimus","M'Man-Tine","Sugar Cane Alley"
"1984","Pascale Ogier","Louise","Full Moon in Paris"
"1986","Valeria Golino","Bruna Assecondati","A Tale of Love"
"1987","Kang Soo-yeon","Ok-nyo","The Surrogate Woman"
"1988","Isabelle Huppert","Marie Latour","Story of Women"
"1988","Shirley MacLaine","Madame Sousatzka","Madame Sousatzka"
"1989","Peggy Ashcroft","Lillian Huckle","She's Been Away"
"1989","Geraldine James","Harriet Ambrose","She's Been Away"
"1990","Gloria Münchmeyer","Lucrecia","The Moon in the Mirror"
"1991","Tilda Swinton","Isabella","Edward II"
"1992","Gong Li","Qiu Ju","The Story of Qiu Ju"
"1993","Juliette Binoche","Julie Vignon de Courcy","Three Colours: Blue"
"1993","Anna Bonaiuto","Mother","Where Are You? I'm Here"
"1994","Maria de Medeiros","Maria","Two Brothers, My Sister"
"1994","Vanessa Redgrave","Irina Shapira","Little Odessa"
"1995","Sandrine Bonnaire","Sophie","La Cérémonie"
"1995","Isabelle Huppert","Jeanne","La Cérémonie"
"1995","Isabella Ferrari","Andreina","The Story of a Poor Young Man"
"1996","Victoire Thivisol","Ponette","Ponette"
"1997","Robin Tunney","Marcy","Niagara, Niagara"
"1998","Catherine Deneuve","Marianne Malivert","Place Vendôme"
"1999","Nathalie Baye","Her","Une liaison pornographique"
"2000","Rose Byrne","B.G.","The Goddess of 1967"
"2001","Sandra Ceccarelli","Maria","Light of My Eyes"
"2002","Julianne Moore","Cathy Whitaker","Far from Heaven"
"2003","Katja Riemann","Lena Fischer","Rosenstrasse"
"2004","Imelda Staunton","Vera Rose Drake","Vera Drake"
"2005","Giovanna Mezzogiorno","Sabina","Don't Tell"
"2006","Helen Mirren","Queen Elizabeth II","The Queen"
"2007","Cate Blanchett","Jude Quinn","I'm Not There"
"2008","Dominique Blanc","Anne-Marie","The Other One"
"2009","Kseniya Rappoport","Sonia","The Double Hour"
"2010","Ariane Labed","Marina","Attenberg"
"2011","Deanie Ip","Sister Peach","A Simple Life"
"2012","Hadas Yaron","Shira Mendelman","Fill the Void"
"2013","Elena Cotta","Samira Calafiore","A Street in Palermo"